bs4_lr4e-05_e15| val_loss:0.6688041090965271 | train_loss:0.5386
bs8_lr3e-05_e15| val_loss:0.6689696311950684 | train_loss:0.588
bs8_lr4e-05_e15| val_loss:0.6733222603797913 | train_loss:0.5614
bs4_lr2e-05_e15| val_loss:0.6812177300453186 | train_loss:0.5951
bs4_lr4e-05_e1| val_loss:0.6820287108421326 | train_loss:0.8419
bs4_lr3e-05_e1| val_loss:0.6820937395095825 | train_loss:0.8783
bs8_lr2e-05_e15| val_loss:0.6833370327949524 | train_loss:0.6114
bs4_lr2e-05_e1| val_loss:0.6843037605285645 | train_loss:0.8708
bs4_lr3e-05_e2| val_loss:0.6898436546325684 | train_loss:0.6215
bs4_lr2e-05_e2| val_loss:0.695766806602478 | train_loss:0.6353
bs4_lr3e-05_e15| val_loss:0.6984105110168457 | train_loss:0.5574
bs4_lr4e-05_e2| val_loss:0.7062255144119263 | train_loss:0.6357
bs32_lr4e-05_e15| val_loss:0.7341693639755249 | train_loss:0.6923
bs32_lr3e-05_e15| val_loss:0.7686572074890137 | train_loss:0.739
bs32_lr2e-05_e15| val_loss:0.9990740418434143 | train_loss:0.949
